INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY,PARENT1_INDEX,MSTATUS_INDEX,CAR_USE_INDEX,REVOKED_INDEX,URBANICITY_INDEX,EDUCATION_INDEX,JOB_INDEX,CAR_TYPE_INDEX,HOME_VAL_BIN,CAR_AGE_BIN,HOMEKIDS_BIN,KIDSDRIV_BIN,JOB_BIN,EDUCATION_BIN,logINCOME,logMVR_PTS,logBLUEBOOK,logCLM_FREQ,logAGE,logTRAVTIME
1,0,0.0,0,60.0,0,11.0,67349.0,No,0.0,z_No,M,PhD,Professional,14,Private,14230.0,11,Minivan,yes,4461.0,2,No,3,18.0,Highly Urban/ Urban,0,0,0,0,0,4,4.0,1,0,1,0,0,1,1,11.11765818183851,1.3862943611198906,9.563107691083898,1.0986122886681098,4.0943445622221,2.6390573296152584
2,0,0.0,0,43.0,0,11.0,91449.0,No,257252.0,z_No,M,z_High School,z_Blue Collar,22,Commercial,14940.0,1,Minivan,yes,0.0,0,No,0,1.0,Highly Urban/ Urban,0,0,1,0,0,1,2.0,1,1,0,0,0,0,0,11.423547653819012,0.0,9.611797458686809,0.0,3.7612001156935624,3.091042453358316
4,0,0.0,0,35.0,1,10.0,16039.0,No,124191.0,Yes,z_F,z_High School,Clerical,5,Private,4010.0,4,z_SUV,no,38690.0,2,No,3,10.0,Highly Urban/ Urban,0,1,0,0,0,1,3.0,0,1,1,1,0,0,0,9.682840881420505,1.3862943611198906,8.296546520300614,1.0986122886681098,3.5553480614894135,1.6094379124341003
5,0,0.0,0,51.0,0,14.0,53557.24672865467,No,306251.0,Yes,M,<High School,z_Blue Collar,32,Private,15440.0,7,Minivan,yes,0.0,0,No,0,6.0,Highly Urban/ Urban,0,1,0,0,0,0,2.0,1,1,1,0,0,0,0,10.88852506455413,0.0,9.644716823578767,0.0,3.9318256327243257,3.4657359027997265
6,0,0.0,0,50.0,0,11.277405287940512,114986.0,No,243925.0,Yes,z_F,PhD,Doctor,36,Private,18000.0,1,z_SUV,no,19217.0,2,Yes,3,17.0,Highly Urban/ Urban,0,1,0,1,0,4,5.0,0,1,1,0,0,1,1,11.652574357477231,1.3862943611198906,9.798127036878302,1.0986122886681098,3.912023005428146,3.58351893845611
7,1,2946.0,0,34.0,1,12.0,125301.0,Yes,0.0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,17430.0,1,Sports Car,no,0.0,0,No,0,7.0,Highly Urban/ Urban,1,0,1,0,0,2,2.0,3,0,1,1,0,0,1,11.738482102448712,0.0,9.765948138514066,0.0,3.5263605246161616,3.828641396489095
8,0,0.0,0,54.0,0,11.221280180358406,18755.0,No,0.0,Yes,z_F,<High School,z_Blue Collar,33,Private,8780.0,1,z_SUV,no,0.0,0,No,0,1.0,Highly Urban/ Urban,0,1,0,0,0,0,2.0,0,0,0,0,0,0,0,9.839268980209477,0.0,9.080231686629162,0.0,3.9889840465642745,3.4965075614664802
11,1,4021.0,1,37.0,2,10.58501516080163,107961.0,No,333680.0,Yes,M,Bachelors,z_Blue Collar,44,Commercial,16970.0,1,Van,yes,2374.0,1,Yes,10,7.0,Highly Urban/ Urban,0,1,1,1,0,2,2.0,4,1,1,1,1,0,1,11.589534592340119,2.3978952727983707,9.739202358228273,0.6931471805599453,3.6109179126442243,3.784189633918261
12,1,2501.0,0,34.0,0,10.0,62978.0,No,0.0,z_No,z_F,Bachelors,Clerical,34,Private,11200.0,1,z_SUV,no,0.0,0,No,0,1.0,Highly Urban/ Urban,0,0,0,0,0,2,3.0,0,0,0,0,0,0,1,11.050556616472432,0.0,9.323669057283185,0.0,3.5263605246161616,3.5263605246161616
13,0,0.0,0,50.0,0,7.0,106952.0,No,0.0,z_No,M,Bachelors,Professional,48,Commercial,18510.0,7,Van,no,0.0,0,No,1,17.0,z_Highly Rural/ Rural,0,0,1,0,1,2,4.0,4,0,1,0,0,1,1,11.580144764608027,0.6931471805599453,9.826066405567543,0.0,3.912023005428146,3.871201010907891
14,1,6077.0,0,53.0,0,14.0,77100.0,No,0.0,z_No,z_F,Masters,Lawyer,15,Private,18300.0,1,Sports Car,no,0.0,0,No,0,11.0,Highly Urban/ Urban,0,0,0,0,0,3,6.0,3,0,1,0,0,1,1,11.252871529635922,0.0,9.814656338829513,0.0,3.970291913552122,2.70805020110221
15,0,0.0,0,43.0,0,5.0,52642.0,No,209970.0,Yes,z_F,Masters,Professional,36,Private,22420.0,7,Minivan,no,0.0,0,No,0,1.0,z_Highly Rural/ Rural,0,1,0,0,1,3,4.0,1,1,0,0,0,1,1,10.87128855525674,0.0,10.017708696626151,0.0,3.7612001156935624,3.58351893845611
16,0,0.0,0,55.0,0,11.0,59162.0,No,180232.0,Yes,M,Bachelors,Manager,25,Commercial,17600.0,7,Van,yes,5028.0,2,Yes,3,9.0,Highly Urban/ Urban,0,1,1,1,0,2,7.0,4,1,1,0,0,1,1,10.988051625478178,1.3862943611198906,9.775654181026242,1.0986122886681098,4.007333185232471,3.2188758248682006
